name,city,region_code,country_code,phone,website,services,slug,claim_hash,claim_url,additional_cities,additional_regions
"Stockton, Ca","",CA,US,209-901-6130,,"",stockton-ca,03f912218b09a445,https://haulcommand.com/claim/invite/03f912218b09a445,"",""
"Cripple Creek/Victor, Co","",CO,US,719-465-4643,,"",cripple-creekvictor-co,c7bc534eb97c016f,https://haulcommand.com/claim/invite/c7bc534eb97c016f,"",""
"Fort Collins, Co","",CO,US,970-217-1334,,"",fort-collins-co,3dbb60cd393a2f59,https://haulcommand.com/claim/invite/3dbb60cd393a2f59,"","KS;NE;WY"
"Peoria, Az","",CO,US,623-910-3236,,"",peoria-az,eda143aabecf14ba,https://haulcommand.com/claim/invite/eda143aabecf14ba,"","NM"
"Fort Morgan, Co","",CO,US,308-249-4899,,"",fort-morgan-co,8db9db3eaf701874,https://haulcommand.com/claim/invite/8db9db3eaf701874,"","KS;NE;WY"
"Pueblo, Co","",CO,US,719-281-0806,,"",pueblo-co,56d5f27c2905afb2,https://haulcommand.com/claim/invite/56d5f27c2905afb2,"","KS;NM;WY"
"Cheyenne, Wy","",CO,US,307-632-6409,,"",cheyenne-wy,2bc26cba6175d336,https://haulcommand.com/claim/invite/2bc26cba6175d336,"","KS;MT;NE;UT;WY"
"Odessa, Tx","",CO,US,432-924-2289,,"",odessa-tx,67549073a4c138e5,https://haulcommand.com/claim/invite/67549073a4c138e5,"","KS;OK;TX"
"Denver/Pueblo, Co","",CO,US,626-278-7545,,"",denverpueblo-co,83d4178c292c85ad,https://haulcommand.com/claim/invite/83d4178c292c85ad,"",""
"Aurora, Co","",CO,US,303-550-1452,,"",aurora-co,5a9bbf77e5ea34c9,https://haulcommand.com/claim/invite/5a9bbf77e5ea34c9,"","KS;UT;WY"
"Rifle, Co","",CO,US,970-274-1337,,"",rifle-co,ceaf380b0eb55311,https://haulcommand.com/claim/invite/ceaf380b0eb55311,"","KS;NM;UT;WY"
"Burns /Cheyenne, Wy","",CO,US,307-477-7771,,"",burns-cheyenne-wy,75927f0bcd6fa351,https://haulcommand.com/claim/invite/75927f0bcd6fa351,"","MT;SD"
"Vernal, Ut","",CO,US,435-790-1226,,"",vernal-ut,e368b91174335602,https://haulcommand.com/claim/invite/e368b91174335602,"","NV;UT;WY"
"Cheyenne, Wy","",CO,US,307-275-6814,,"",cheyenne-wy,6b09fa4b63423a8f,https://haulcommand.com/claim/invite/6b09fa4b63423a8f,"","NE;NM;WY"
"Limon, Co","",CO,US,719-330-6080,,"",limon-co,abadff8b15178c12,https://haulcommand.com/claim/invite/abadff8b15178c12,"",""
"Canon City, Co","",CO,US,719-371-5700,,"",canon-city-co,7aee28055d29a573,https://haulcommand.com/claim/invite/7aee28055d29a573,"","KS;UT;WY"
"Canon City, Co","",CO,US,719-429-9617,,"",canon-city-co,8b68dc30f5c1e566,https://haulcommand.com/claim/invite/8b68dc30f5c1e566,"",""
"Brighton/ Fort Collins, Co","",CO,US,720-810-6155,,"",brighton-fort-collins-co,f3feb6481730f593,https://haulcommand.com/claim/invite/f3feb6481730f593,"","KS;SD;TX;WY"
"Farmington, Nm","",CO,US,505-486-9835,,"",farmington-nm,c369f568464431bd,https://haulcommand.com/claim/invite/c369f568464431bd,"","NM;TX;UT"
"Burns/Cheyenne, Wy| East West Pilot Car Service, LLC","Rifle, Co |Twin Guns Transportation & Heavy Haul",CO,US,307-477-7771,,"",burnscheyenne-wy-east-west-pilot-car-service-llc,ff7e8462df417357,https://haulcommand.com/claim/invite/ff7e8462df417357,"",""
"Nyc/Long Island, Ny","",CT,US,918-886-0992,,"",nyclong-island-ny,1d24f1f6590d6c50,https://haulcommand.com/claim/invite/1d24f1f6590d6c50,"","NJ;NY;PA"
"Mile Makers Pilot Car Services","",CT,US,301-305-7563,,"",mile-makers-pilot-car-services,91bc4f1c5aa822bb,https://haulcommand.com/claim/invite/91bc4f1c5aa822bb,"","FL"
"Baltimore, Md","",DE,US,240-818-6454,,"",baltimore-md,79f76fe052f3a672,https://haulcommand.com/claim/invite/79f76fe052f3a672,"","MD;PA;VA"
"Alachua, Fl | Amber Pilot Cars","",FL,US,919-809-2313,,"",alachua-fl-amber-pilot-cars,30f74b88b6169c38,https://haulcommand.com/claim/invite/30f74b88b6169c38,"",""
"Houston, Tx","",FL,US,832-594-9306,,"",houston-tx,5884730b49023770,https://haulcommand.com/claim/invite/5884730b49023770,"","MI"
"Alachua, Fl","",FL,US,919-809-2313,,"",alachua-fl,454c360cf2cad297,https://haulcommand.com/claim/invite/454c360cf2cad297,"",""
"Seminary, Ms","",FL,US,601-517-3789,,"",seminary-ms,60edad2e228d412f,https://haulcommand.com/claim/invite/60edad2e228d412f,"","LA"
"Coldwater, Mi","",IL,US,269-209-3698,,"",coldwater-mi,70c6b5e580a09537,https://haulcommand.com/claim/invite/70c6b5e580a09537,"","IN;MI;OH"
"Menominee, Mi","",IL,US,715-587-0554,,"",menominee-mi,31d95ee3490644bf,https://haulcommand.com/claim/invite/31d95ee3490644bf,"","MI;MN;WI"
"Fort Wayne/Fremont/Gary/ Indy, In","",IL,US,574-835-8743,,"",fort-waynefremontgary-indy-in,aaf45bc0723c22e5,https://haulcommand.com/claim/invite/aaf45bc0723c22e5,"","MI;OH"
"Indianapolis, In 47331","",IL,US,308-529-8800,,"",indianapolis-in-47331,5c27bafd527c2bcb,https://haulcommand.com/claim/invite/5c27bafd527c2bcb,"","KY"
"Rockwood, Mi","",IL,US,734-799-6833,,"",rockwood-mi,1ff394de0e6a6225,https://haulcommand.com/claim/invite/1ff394de0e6a6225,"","IN;MI;PA"
"Holland, Mi","",IL,US,616-836-2283,,"",holland-mi,41099c81dd2153ab,https://haulcommand.com/claim/invite/41099c81dd2153ab,"","IN;MI;WI"
"Fort Wayne/Fremont/Gary, In","",IN,US,574-835-8743,,"",fort-waynefremontgary-in,a18c7b94a999a46c,https://haulcommand.com/claim/invite/a18c7b94a999a46c,"",""
"Southfield, Mi","",IN,US,248-761-5343,,"",southfield-mi,7d04212452da5e99,https://haulcommand.com/claim/invite/7d04212452da5e99,"","MI;OH;ON"
"Sheridan, In","",IN,US,317-371-4228,,"",sheridan-in,bd9c456407e4506e,https://haulcommand.com/claim/invite/bd9c456407e4506e,"",""
"Indianapolis","",IN,US,317-694-4444,,"",indianapolis,7577ded845e11719,https://haulcommand.com/claim/invite/7577ded845e11719,"","KY;MI;OH"
"Indianapolis, In","",IN,US,308-529-8800,,"",indianapolis-in,d9db55f899d80b96,https://haulcommand.com/claim/invite/d9db55f899d80b96,"","MI;WI"
"Anderson, In","Taylor Piloting",IN,US,765-620-7438,,"",anderson-in,4fb9b93aa0bd8cea,https://haulcommand.com/claim/invite/4fb9b93aa0bd8cea,"","KY;TX"
"Indianapolis, In","",IN,US,765-389-3168,,"",indianapolis-in,e5802811fa29cb55,https://haulcommand.com/claim/invite/e5802811fa29cb55,"",""
"Murray, Ne |Towering Oak Pilot Cars","",IA,US,402-718-0698,,"",murray-ne-towering-oak-pilot-cars,0a52e812199913ac,https://haulcommand.com/claim/invite/0a52e812199913ac,"","KS;MO;NE"
"Springfield, Mo","",IA,US,479-670-2176,,"",springfield-mo,294970a18ad7b0a2,https://haulcommand.com/claim/invite/294970a18ad7b0a2,"","KS;OK"
"Greater Kansas City Area","",IA,US,913-485-3813,,"",greater-kansas-city-area,67322bb795a5a474,https://haulcommand.com/claim/invite/67322bb795a5a474,"","OK"
"Wahpeton, Nd/St. Paul, Mn/Council Bluffs, Ia","",IA,US,701-899-0173,,"",wahpeton-ndst-paul-mncouncil-bluffs-ia,a753b801112a17c1,https://haulcommand.com/claim/invite/a753b801112a17c1,"","KS"
"Chester & Alma, Ne/Yankton, Sd","",IA,US,402-366-0730,,"",chester-alma-neyankton-sd,6de6e333d250e024,https://haulcommand.com/claim/invite/6de6e333d250e024,"",""
"Council Bluffs, Ia","",IA,US,402-984-0976,,"",council-bluffs-ia,191490f3a5cf8ca9,https://haulcommand.com/claim/invite/191490f3a5cf8ca9,"",""
"Kansas City, Ks","",IA,US,816-560-0906,,"",kansas-city-ks,25de82933dbe6fff,https://haulcommand.com/claim/invite/25de82933dbe6fff,"Djs Pilot Cars, LLC","KS;OK"
"York, Ne","",IA,US,402-366-2028,,"",york-ne,cc569a1ef1fa4c1f,https://haulcommand.com/claim/invite/cc569a1ef1fa4c1f,"","KS;NE;OK"
"Grand Island, Ne","",IA,US,308-940-3251,,"",grand-island-ne,852c61ea971a3f76,https://haulcommand.com/claim/invite/852c61ea971a3f76,"","KS;NE;SD"
"Murray, Ne","",IA,US,402-718-0698,,"",murray-ne,f4090f9134142b2a,https://haulcommand.com/claim/invite/f4090f9134142b2a,"","KS;NE"
"Fort Wayne/Fremont, In","",KS,US,260-336-2412,,"",fort-waynefremont-in,1276f98491570f9e,https://haulcommand.com/claim/invite/1276f98491570f9e,"",""
"Wichita, Ks","",KS,US,903-744-3166,,"",wichita-ks,b9ce3982a8761aaf,https://haulcommand.com/claim/invite/b9ce3982a8761aaf,"",""
"Woodward, Ok","",KS,US,580-216-7881,,"",woodward-ok,3e9f9dfd30d00cff,https://haulcommand.com/claim/invite/3e9f9dfd30d00cff,"","NE;TX"
"Chester, Ne/Yankton, Sd","",KS,US,402-366-0730,,"",chester-neyankton-sd,373b623c50d6ad2d,https://haulcommand.com/claim/invite/373b623c50d6ad2d,"","NE;SD"
"Johnson City, Tn","",KS,US,907-957-0107,,"",johnson-city-tn,06ab7e47936abbdd,https://haulcommand.com/claim/invite/06ab7e47936abbdd,"","MD;OH"
"Salina, Ks","",KS,US,402-984-0976,,"",salina-ks,545ab06e33cd3a85,https://haulcommand.com/claim/invite/545ab06e33cd3a85,"",""
"Kansas City, Ks","",KS,US,913-485-3813,,"",kansas-city-ks,bcb0bf043deb652f,https://haulcommand.com/claim/invite/bcb0bf043deb652f,"",""
"Blue Springs, Mo","",KS,US,816-674-3253,,"",blue-springs-mo,c0b34bf4c8d9be42,https://haulcommand.com/claim/invite/c0b34bf4c8d9be42,"","OK"
"So. Charleston, Wv","",KY,US,304-437-0403,,"",so-charleston-wv,cd7f096a0fd11e5b,https://haulcommand.com/claim/invite/cd7f096a0fd11e5b,"","MD;OH;PA;VA;WV"
"Hamlin, Wv","",KY,US,304-360-4102,,"",hamlin-wv,4cfdf71af9e27f55,https://haulcommand.com/claim/invite/4cfdf71af9e27f55,"","OH;VA;WV"
"Bowling Green, Ky","",KY,US,270-407-8412,,"",bowling-green-ky,10427a9916622c7b,https://haulcommand.com/claim/invite/10427a9916622c7b,"",""
"Cards","All Credit",LA,US,337-551-3983,http://www.louisianafrog.com/,"",cards,1e02a78df6a42f56,https://haulcommand.com/claim/invite/1e02a78df6a42f56,"",""
"Waskom, Tx","",LA,US,469-223-4620,,"",waskom-tx,b734065556227d3d,https://haulcommand.com/claim/invite/b734065556227d3d,"","OK;TX"
"Monmouth, Me","",ME,US,207-240-7876,,"",monmouth-me,e363a401c1b466a6,https://haulcommand.com/claim/invite/e363a401c1b466a6,"",""
"Hertford, Nc","",MD,US,252-340-0879,,"",hertford-nc,0204d59c8ec11b82,https://haulcommand.com/claim/invite/0204d59c8ec11b82,"",""
"Wheeling, Wv","",MD,US,304-639-6410,,"",wheeling-wv,0b29a25e7052ab97,https://haulcommand.com/claim/invite/0b29a25e7052ab97,"",""
"Callao, Va","",MD,US,804-238-8216,,"",callao-va,bd98e659957dd864,https://haulcommand.com/claim/invite/bd98e659957dd864,"","NC;PA;VA"
"Woodbridge, Va","",MD,US,703-898-8718,,"",woodbridge-va,f538f2548ade9cf4,https://haulcommand.com/claim/invite/f538f2548ade9cf4,"","NC;VA;WV"
"Baltimore, Md","",MD,US,330-610-2492,,"",baltimore-md,620e0d67f77d0ee8,https://haulcommand.com/claim/invite/620e0d67f77d0ee8,"",""
"Fort Mill, Sc/Washington, Dc","",MD,US,704-492-3643,,"",fort-mill-scwashington-dc,8fb48bb78f000403,https://haulcommand.com/claim/invite/8fb48bb78f000403,"",""
"Nationwide Services","",MD,US,301-458-0111,,"",nationwide-services,3cad8ab1d4350f2d,https://haulcommand.com/claim/invite/3cad8ab1d4350f2d,"","PA;VA;WV"
"Harrisburg, Pa","",MD,US,570-516-4112,,"",harrisburg-pa,5cf463b4bca46b3f,https://haulcommand.com/claim/invite/5cf463b4bca46b3f,"","OH;PA;WV"
"Pittsfield, Ma","",MA,US,413-441-0542,,"",pittsfield-ma,cca0583cd159e8b2,https://haulcommand.com/claim/invite/cca0583cd159e8b2,"",""
"Springfield, Ma","",MA,US,217-860-2201,,"",springfield-ma,3f90b58cf260d8b2,https://haulcommand.com/claim/invite/3f90b58cf260d8b2,"",""
"Northeast Us","",MA,US,203-994-2620,,"",northeast-us,ec56484fecadf224,https://haulcommand.com/claim/invite/ec56484fecadf224,"",""
"Red Wing, Mn","",MN,US,651-380-5578,,"",red-wing-mn,80990c1a18d4ab5e,https://haulcommand.com/claim/invite/80990c1a18d4ab5e,"",""
"Jamestown, Nd","",MN,US,701-368-2415,,"",jamestown-nd,2d51250fcc8adfc3,https://haulcommand.com/claim/invite/2d51250fcc8adfc3,"","MT;ND;SD"
"Fargo, Nd","",MN,US,701-532-0252,,"",fargo-nd,29b1033d9a5bc8f3,https://haulcommand.com/claim/invite/29b1033d9a5bc8f3,"","MT;ND;SD"
"Granville, Nd","",MN,US,701-240-4969,,"",granville-nd,849ee6ccbde16ed2,https://haulcommand.com/claim/invite/849ee6ccbde16ed2,"","MT;ND;SD;WY;SK"
"Fargo, Nd","Tri-State Piloting LLC",MN,US,701-552-3404,,"",fargo-nd,58c543bb4a14a3dd,https://haulcommand.com/claim/invite/58c543bb4a14a3dd,"","MT;ND;SD"
"Tcb Escorts LLC","All Credit   
   Cards   
 
 
  Jackson",MS,US,601-612-0106,,"multiple_cars",tcb-escorts-llc,c586e99d5658692c,https://haulcommand.com/claim/invite/c586e99d5658692c,"Jackson",""
"Rapid City, Sd","Dalaines Pilotcar",MT,US,605-545-2930,,"",rapid-city-sd,5b8e896a0fc47221,https://haulcommand.com/claim/invite/5b8e896a0fc47221,"","NE;ND;SD;WY"
"Spokane, Wa","",MT,US,509-994-6690,,"",spokane-wa,fe730d4c9bb08bfb,https://haulcommand.com/claim/invite/fe730d4c9bb08bfb,"","OR;WA"
"Billings, Mt","",MT,US,406-697-5909,,"",billings-mt,6ac01ebe8cf0a087,https://haulcommand.com/claim/invite/6ac01ebe8cf0a087,"","ND;SD"
"Moorcroft, Wy","",MT,US,307-351-2322,,"",moorcroft-wy,ad3f0c1f69628d56,https://haulcommand.com/claim/invite/ad3f0c1f69628d56,"Rogue Hotshots PCS LLC Witpac","NE;SD;WY"
"Post Falls, Id","",MT,US,208-449-1011,,"",post-falls-id,8dfcb192ec86c474,https://haulcommand.com/claim/invite/8dfcb192ec86c474,"","OR;WA"
"Miles City, Mt","",MT,US,406-853-1024,,"",miles-city-mt,317ed53899edba43,https://haulcommand.com/claim/invite/317ed53899edba43,"",""
"Casper. Wy","",MT,US,307-389-7285,,"",casper-wy,ed12d88c0238663b,https://haulcommand.com/claim/invite/ed12d88c0238663b,"","SD;UT;WY"
"Big Sky Pilots  &Nbsp;","Billings",MT,US,406-697-5909,,"",big-sky-pilots-nbsp,9cfc5e1fbd54a240,https://haulcommand.com/claim/invite/9cfc5e1fbd54a240,"",""
"Norwalk, Iowa","",NE,US,515-205-7973,,"",norwalk-iowa,77dfeaad221e4205,https://haulcommand.com/claim/invite/77dfeaad221e4205,"",""
"Burns, Wy","",NE,US,307-477-7771,,"",burns-wy,f7d11f2ed1188f16,https://haulcommand.com/claim/invite/f7d11f2ed1188f16,"","WY"
"I-80 & Ne Hwys. 183,281,81,283","",NE,US,402-984-0976,,"",i-80-ne-hwys-18328181283,0e6ce8cc3506caaf,https://haulcommand.com/claim/invite/0e6ce8cc3506caaf,"",""
"Columbus, Ne","Anstorm Sabre PCS, LLC",NE,US,402-270-2125,,"",columbus-ne,292e196765fd734c,https://haulcommand.com/claim/invite/292e196765fd734c,"",""
"Midwest Pilot Cars","Omaha",NE,US,605-670-9654,http://midwestpilotcars.com/,"height_pole;route_survey;multiple_cars;steering",midwest-pilot-cars,a6f91f89d6afe29f,https://haulcommand.com/claim/invite/a6f91f89d6afe29f,"Mobile","TX;VA;AL"
"J &Amp; W Torrence Pilot Car","Neill",NE,US,405-476-8006,,"",j-amp-w-torrence-pilot-car,d2dde70f40dd27ad,https://haulcommand.com/claim/invite/d2dde70f40dd27ad,"",""
"Tammy Bzzz’S Pilot Car Service","York",NE,US,402-366-2028,,"height_pole;route_survey;multiple_cars",tammy-bzzzs-pilot-car-service,2c8a84379003e5f4,https://haulcommand.com/claim/invite/2c8a84379003e5f4,"Belleville","KS"
"Ely/Wendover, Nv","",NV,US,702-496-8313,,"",elywendover-nv,df5af8c784f10af8,https://haulcommand.com/claim/invite/df5af8c784f10af8,"",""
"Jerome, Id","",NV,US,208-731-4198,,"",jerome-id,166180a120e60810,https://haulcommand.com/claim/invite/166180a120e60810,"","OR;UT"
"Reno, Nv","",NV,US,775-622-9112,,"",reno-nv,7fa576631e2d686d,https://haulcommand.com/claim/invite/7fa576631e2d686d,"",""
"Dts Pilot Car Service","Reno",NV,US,775-842-2633,http://dtspilotcar.com/,"",dts-pilot-car-service,0d006f1498112b25,https://haulcommand.com/claim/invite/0d006f1498112b25,"",""
"Nashua, Nh","",NH,US,217-860-2201,,"",nashua-nh,b108d7a5fc0356ec,https://haulcommand.com/claim/invite/b108d7a5fc0356ec,"",""
"Albuquerque, Nm","",NM,US,505-330-6188,,"",albuquerque-nm,04ee320b284c3d2c,https://haulcommand.com/claim/invite/04ee320b284c3d2c,"",""
"Rio Rancho, Nm","",NM,US,206-293-2672,,"",rio-rancho-nm,9ca4b55976af831d,https://haulcommand.com/claim/invite/9ca4b55976af831d,"",""
"Pueblo, Co","",NM,US,877-333-0115,,"",pueblo-co,a679562de1292d2b,https://haulcommand.com/claim/invite/a679562de1292d2b,"",""
"Albuquerque, Nm/Phoenix, Az","",NM,US,626-278-7545,,"",albuquerque-nmphoenix-az,d977d95915103ba7,https://haulcommand.com/claim/invite/d977d95915103ba7,"",""
"Abuquerque. Nm","Anstorm Sabre PCS, LLC",NM,US,402-270-2125,,"",abuquerque-nm,bfde73782ab5ead0,https://haulcommand.com/claim/invite/bfde73782ab5ead0,"",""
"Albuquerque, Nm","",NM,US,505-377-5773,,"",albuquerque-nm,0898adbf39e58d26,https://haulcommand.com/claim/invite/0898adbf39e58d26,"",""
"Midland/Lubbock/Pecos, Tx","",NM,US,432-250-5865,,"",midlandlubbockpecos-tx,0269745f0183d0b3,https://haulcommand.com/claim/invite/0269745f0183d0b3,"",""
"Rifle, Co","Twin Guns Transport. & Heavy Haul",NM,US,970-456-2169,,"",rifle-co,1d0d75630ff14cb4,https://haulcommand.com/claim/invite/1d0d75630ff14cb4,"",""
"Socorro, Nm","",NM,US,480-239-7887,,"",socorro-nm,53192688a347444f,https://haulcommand.com/claim/invite/53192688a347444f,"",""
"Socorro, Nm","",NM,US,719-641-9158,,"",socorro-nm,daf474c0b142d5f9,https://haulcommand.com/claim/invite/daf474c0b142d5f9,"",""
"Pocatello. Id/Farmington, Nm","",NM,US,208-479-7290,,"",pocatello-idfarmington-nm,c77650db6a9b6816,https://haulcommand.com/claim/invite/c77650db6a9b6816,"",""
"Jamestown, Ny","",NY,US,330-610-2492,,"",jamestown-ny,509b10e34dec5e01,https://haulcommand.com/claim/invite/509b10e34dec5e01,"",""
"Buffalo, Ny","",NY,US,716-222-2658,,"",buffalo-ny,4b36cd18d2f4eec4,https://haulcommand.com/claim/invite/4b36cd18d2f4eec4,"","OH;VA"
"Ny Metro Area","",NY,US,631-669-3742,,"",ny-metro-area,d579393ed0538d48,https://haulcommand.com/claim/invite/d579393ed0538d48,"",""
"Savannah, Ga","",NC,US,912-401-9545,,"",savannah-ga,3b1249ce4de84488,https://haulcommand.com/claim/invite/3b1249ce4de84488,"","PA;SC"
"Johnson City, Tn","",NC,US,407-310-1035,,"",johnson-city-tn,40a351d01d4141ed,https://haulcommand.com/claim/invite/40a351d01d4141ed,"","SC;VA"
"Fort Mill, Sc","",NC,US,704-492-3643,,"",fort-mill-sc,15bb1a9e66081511,https://haulcommand.com/claim/invite/15bb1a9e66081511,"","SC"
